Exchange Name,Year Founded,Location
Philadelphia Stock Exchange,1790,"Pennsylvania, USA"
NYSE,1792,"New York, USA"
Rio de Janeiro Stock Exchange,1820,"Rio de Janeiro, Brazil"
Montreal Exchange,1832,"Montreal, Canada"
American Stock Exchange,1842,"New York, USA"
Chicago Board of Trade,1848,"Chicago, Illinois"
Lima Stock Exchange,1860,"Lima, Peru"
Toronto Stock Exchange,1861,"Toronto, Canada"
ICE Futures US,1870,"New York, USA"
New York Mercantile Exchange,1872,"New York, USA"
Washington Stock Exchange,1880,"Washington DC, USA"
Baltimore Stock Exchange,1881,"Maryland, USA"
CSCE,1882,"New York, USA"
San Francisco Stock and Bond Exchange,1882,"San Francisco, CA"
Mexican Stock Exchange,1886,"Mexico City, Mexico"
ICE Futures Canada,1887,"Winnipeg, Canada"
Sao Paulo Stock Exchange,1890,"Sao Paulo, Brazil"
Santiago Stock Exchange,1893,"Santiago, Chile"
National Stock Exchange,1894,"Mexico City, Mexico"
CME,1898,"Chicago, Illinois"
Los Angeles Oil Exchange,1899,"Los Angeles, CA"
Colombia Stock Exchange,1901,"Bogota, Colombia"
MATba,1907,Argentina
ROFEX,1909,Argentina
Canadian Stock Exchange,1920,"Montreal, Canada"
Bogota Stock Exchange,1928,"Bogota, Colombia"
COMEX,1933,"New York, USA"
San Jose Stock Exchange,1940,"San Jose, Costa Rica"
Pacific Exchange,1956,"San Francisco, CA"
Medellin Stock Exchange,1961,"Medellin, Colombia"
Jamaican Stock Exchange,1968,"Kingston, Jamaica"
BNV,1970,Costa Rica
NASDAQ US,1971,"New York, USA"
BMV,1975,"Mexico City, Mexico"
Western Stock Exchange,1983,"Cali, Colombia"
Barbados Stock Exchange,1987,"Bridgetown, Barbados"
Chilean Electronic Stock Exchange,1989,"Santiago, Chile"
Latin American Stock Exchange,1990,"Panama City, Panama"
Cayman Island Stock Exchange,1996,"Grand Cayman, Cayman Islands"
ISE,2000,"New York, USA"
BVC,2001,"Bogota, Colombia"
Canadian Securities Exchange,2001,"Toronto, Canada"
CBOE Futures Exchange,2004,"Chicago, Illinois"
BATS Global Markets,2005,"Missouri, USA"
PBOT(NFX),2006,"Pennsylvania, USA"
NYSE Arca,2006,"Chicago, Illinois"
CME Group,2007,"Chicago, Illinois"
Miami International Holdings,2007,"New Jersey, USA"
NYSE Euronext,2007,"New York, USA"
CBOE Stock Exchange,2007,"Chicago, Illinois"
NYSE MKT,2008,"New York, USA"
NYSE American Options,2008,"New York, USA"
BM&FBOVESPA,2008,"Sao Paulo, Brazil"
TMX Group,2008,"Toronto, Canada"
NASDAX OMX PHLX,2008,"Pennsylvania, USA"
BATS Options,2010,"Missouri, USA"
BYX Exchange,2010,"Missouri, USA"
Direct Edge,2010,"New Jersey, USA"
CBOE Global Markets,2010,"Chicago, Illinois"
C2 Options Exchange,2010,"Chicago, Illinois"
MIAX Exchange Group,2012,"New Jersey, USA"
ISE Gemini,2013,"New York, USA"
CBOE EDGX Options Exchange,2015,"Missouri, USA"
ISE Mercury,2016,"New York, USA"
B3,2017,"Sao Paulo, Brazil"
MIAX Pearl Options,2017,"New Jersey, USA"
MATBba and ROFEX,2019,Argentina
MIAX Emerald,2019,"New Jersey, USA"
MIAX Pearl Equities,2020,"New Jersey, USA"
